tweet_text,embedded_text,hashtags,usernames,combined
"125 bitcoin a person who retweets follows me will receive 125 btc  1060000  yes for real

retweet my pinned post","bitcoinprof0637 125 bitcoin a person who retweets follows me will receive 125 btc  1060000  yes for real

retweet my pinned post 179 179 296 296 316 316 30k 30k",bitcoin,bitcoinprof0637,"125 bitcoin a person who retweets follows me will receive 125 btc  1060000  yes for real

retweet my pinned post bitcoinprof0637 125 bitcoin a person who retweets follows me will receive 125 btc  1060000  yes for real

retweet my pinned post 179 179 296 296 316 316 30k 30k bitcoin bitcoinprof0637"
"2 bitcoin a person who retweets follows me will receive 2 btc  172000  yes for real

retweet my pinned post","cryptoemperor06 bitcoin a person who retweets follows me will receive 2 btc  172000  yes for real

retweet my pinned post 186 186 261 261 261 261 78k 78k",bitcoin,cryptoemperor06,"2 bitcoin a person who retweets follows me will receive 2 btc  172000  yes for real

retweet my pinned post cryptoemperor06 bitcoin a person who retweets follows me will receive 2 btc  172000  yes for real

retweet my pinned post 186 186 261 261 261 261 78k 78k bitcoin cryptoemperor06"
2035  dad why did you sell bitcoin at 85000 in 2025,vivek4real 2035  dad why did you sell bitcoin at 85000 in 2025 000  008 164 164 274 274 17k 17k 85k 85k,bitcoin,vivek4real,2035  dad why did you sell bitcoin at 85000 in 2025 vivek4real 2035  dad why did you sell bitcoin at 85000 in 2025 000  008 164 164 274 274 17k 17k 85k 85k bitcoin vivek4real
"president trump says the first tariff deal is very close
after fed rate cuts we will see good candles market is fucking bad but nothing can bad forever bitcoin crypto tariffwar","alphawhale president trump says the first tariff deal is very close
after fed rate cuts we will see good candles market is fucking bad but nothing can bad forever bitcoin crypto tariffwar gif 86 86 139 139 445 445 56k 56k",bitcoin tariffwar crypto,alphawhale,"president trump says the first tariff deal is very close
after fed rate cuts we will see good candles market is fucking bad but nothing can bad forever bitcoin crypto tariffwar alphawhale president trump says the first tariff deal is very close
after fed rate cuts we will see good candles market is fucking bad but nothing can bad forever bitcoin crypto tariffwar gif 86 86 139 139 445 445 56k 56k bitcoin tariffwar crypto alphawhale"
if bitcoin breaks out to the upside new highs are imminent,bycoinvo if bitcoin breaks out to the upside new highs are imminent 46 46 83 83 671 671 38k 38k,bitcoin,bycoinvo,if bitcoin breaks out to the upside new highs are imminent bycoinvo if bitcoin breaks out to the upside new highs are imminent 46 46 83 83 671 671 38k 38k bitcoin bycoinvo
just in president trumps executive director bo hines said the us may buy bitcoin using revenue from tariffs,bitcoinmagazine just in president trumps executive director bo hines said the us may buy bitcoin using revenue from tariffs 151 151 592 592 658 658 35k 35k 234k 234k,bitcoin,bitcoinmagazine,just in president trumps executive director bo hines said the us may buy bitcoin using revenue from tariffs bitcoinmagazine just in president trumps executive director bo hines said the us may buy bitcoin using revenue from tariffs 151 151 592 592 658 658 35k 35k 234k 234k bitcoin bitcoinmagazine
"at the end of that day no matter what anyone tells you their only solution is to print money 

stay humble stack sats and chill bitcoin","jackmallers at the end of that day no matter what anyone tells you their only solution is to print money 

stay humble stack sats and chill bitcoin 142 142 548 548 3k 3k 108k 108k",bitcoin,jackmallers,"at the end of that day no matter what anyone tells you their only solution is to print money 

stay humble stack sats and chill bitcoin jackmallers at the end of that day no matter what anyone tells you their only solution is to print money 

stay humble stack sats and chill bitcoin 142 142 548 548 3k 3k 108k 108k bitcoin jackmallers"
btc  bitcoin looks like it has broken out,cryptocaesarta btc bitcoin looks like it has broken out 69 69 192 192 765 765 66k 66k,bitcoin,cryptocaesarta,btc  bitcoin looks like it has broken out cryptocaesarta btc bitcoin looks like it has broken out 69 69 192 192 765 765 66k 66k bitcoin cryptocaesarta
bitcoin d fcking beautiful,carlbmenger bitcoin d fcking beautiful 29 29 49 49 486 486 15k 15k,bitcoin,carlbmenger,bitcoin d fcking beautiful carlbmenger bitcoin d fcking beautiful 29 29 49 49 486 486 15k 15k bitcoin carlbmenger
btc  bitcoin bounced on this extremely important level lets see,cryptocaesarta btc bitcoin bounced on this extremely important level lets see 48 48 70 70 492 492 34k 34k,bitcoin,cryptocaesarta,btc  bitcoin bounced on this extremely important level lets see cryptocaesarta btc bitcoin bounced on this extremely important level lets see 48 48 70 70 492 492 34k 34k bitcoin cryptocaesarta
