tweet_text,retweeted_from,retweeted_content,hashtags_contained,usernames_mentioned,combined,similarity_score
just announced new versions of gemma 3  the most capable model to run just one h100 gpu  can now run on just one desktop gpuour quantizationaware training qat method drastically brings down memory use while maintaining high quality excited to make gemma 3 even more,,,,,just announced new versions of gemma 3  the most capable model to run just one h100 gpu  can now run on just one desktop gpuour quantizationaware training qat method drastically brings down memory use while maintaining high quality excited to make gemma 3 even more,0.1256658257032310
ai is more creative than 90 of humans right now imagine what it will be like 10 years from now,,,,,ai is more creative than 90 of humans right now imagine what it will be like 10 years from now,0.11164285876347900
feels like its just a matter of time before apple buys openai or eventually openai will just buy apple,,,,,feels like its just a matter of time before apple buys openai or eventually openai will just buy apple    ,0.10419014512959600
binkimplementation details are important here but this is a smart move and a strategic win for american kids,autismcapital,new trump signs an executive order ensuring that children are trained in ai and how to use itthis is a big deal ai is where it seems to be at we have trillions of dollars being invested in ai ai is the way to the futurevery smart people are investing in it heavily show more 112 112 201 201 22k 22k 264k 264k,,autismcapital,binkimplementation details are important here but this is a smart move and a strategic win for american kids autismcapital new trump signs an executive order ensuring that children are trained in ai and how to use itthis is a big deal ai is where it seems to be at we have trillions of dollars being invested in ai ai is the way to the futurevery smart people are investing in it heavily show more 112 112 201 201 22k 22k 264k 264k  autismcapital,0.09457355441041040
i dont buy either extreme programmers wont disappear but its disingenuous to think nothing will happen to themmy world model is collapsing into a single bit agency or no agency thats the whole gameanyone not just devs with extreme agency is now 100x its not fully,paulg,hard to say if it will be this extreme but if you average this together with the people saying that all the programming jobs will disappear you have a reasonable estimate of what we know for sure about the future of programming as a career nothing xcomnavalstatus1 show more 54 54 165 165 1k 1k 123k 123k,,paulg,i dont buy either extreme programmers wont disappear but its disingenuous to think nothing will happen to themmy world model is collapsing into a single bit agency or no agency thats the whole gameanyone not just devs with extreme agency is now 100x its not fully paulg hard to say if it will be this extreme but if you average this together with the people saying that all the programming jobs will disappear you have a reasonable estimate of what we know for sure about the future of programming as a career nothing xcomnavalstatus1 show more 54 54 165 165 1k 1k 123k 123k  paulg,0.0928554981066512
vcs have to understand manufacturing business modelsguys vcs barely want to spend the time to understand plain vanilla saas businesses if the future of an industry is based on an average vcs ability to understand it youre not gonna make it,,,,,vcs have to understand manufacturing business modelsguys vcs barely want to spend the time to understand plain vanilla saas businesses if the future of an industry is based on an average vcs ability to understand it youre not gonna make it    ,0.09011592990633630
absolutely especially the last three6 if you want the deal chase the founder7 if you want the deal dont disappear for a few days8 be extremely responsiveyou get 1000 sequenced emails saying the same garbage for inbound and then they dont act accordingly when it,eliast,show more quote aaron harris aaron harris harris every time i get to see the sequoia sequoia process im reminded of what great looks like the truth it isnt complicated some notes 1 make the calls you say you will 2 schedule the meetings you say you will on time 3 if you ask for the data room actually look at the data room show more 872 872,,harris sequoia eliast,absolutely especially the last three6 if you want the deal chase the founder7 if you want the deal dont disappear for a few days8 be extremely responsiveyou get 1000 sequenced emails saying the same garbage for inbound and then they dont act accordingly when it eliast show more quote aaron harris aaron harris harris every time i get to see the sequoia sequoia process im reminded of what great looks like the truth it isnt complicated some notes 1 make the calls you say you will 2 schedule the meetings you say you will on time 3 if you ask for the data room actually look at the data room show more 872 872  harris sequoia eliast,0.0859901078110637
great overview of chef  back end vibe coding by theo  back end really is a bottleneck for ai code its just a classically hard problem shared state semantics are littered with trade offs that only the programmer  business can make,martincasado,youtubecom youtubecom dont sleep on chef i cant believe it works this well dont sleep on chef i cant believe it works this well 102 102 24k 24k,,theo martincasado,great overview of chef  back end vibe coding by theo  back end really is a bottleneck for ai code its just a classically hard problem shared state semantics are littered with trade offs that only the programmer  business can make martincasado youtubecom youtubecom dont sleep on chef i cant believe it works this well dont sleep on chef i cant believe it works this well 102 102 24k 24k  theo martincasado,0.08389528923435880
john taught me 50 of what i know about youtube and making videos congrats johncoogan  pumped for the future of tbpn,alchemyamerican,quote john coogan john coogan johncoogan five years ago i recorded my first youtube video today im going fulltime on tbpn tbpn  my time at founders fund was incredible heres 10000 hours in 48 seconds show more 10 10 156 156 22k 22k,,tbpn alchemyamerican johncoogan,john taught me 50 of what i know about youtube and making videos congrats johncoogan  pumped for the future of tbpn alchemyamerican quote john coogan john coogan johncoogan five years ago i recorded my first youtube video today im going fulltime on tbpn tbpn  my time at founders fund was incredible heres 10000 hours in 48 seconds show more 10 10 156 156 22k 22k  tbpn alchemyamerican johncoogan,0.08302538643897890
i write because i dont know what i think until i read what i say flannery oconnor,,,,,i write because i dont know what i think until i read what i say flannery oconnor    ,0.08184845896200550
telling your team to use ai isnt enoughsending memos about ai adoption is easyactually transforming your company for ai is hardheres what ceos must do to make ai mandates real,,,,,telling your team to use ai isnt enoughsending memos about ai adoption is easyactually transforming your company for ai is hardheres what ceos must do to make ai mandates real    ,0.08152018460660320
i have people tell me all the time that they love using gumloopai  its clear their plg growth has worked but now their team is seeing what epic plg within large companies can yield  and when i read the case studies and stories from these companies its magical,lizwessel,quote max brodeururbas max brodeururbas maxbrodeururbas plg works instacart just crossed 1000 employees on gumloop it started with one free tier user that user shared their workflows internally now 10 different departments are building with ai no sign of slowing down that first user loved gumloop so much he joined our team show more gif 18 18 16k 16k,,gumloopai lizwessel maxbrodeururbas,i have people tell me all the time that they love using gumloopai  its clear their plg growth has worked but now their team is seeing what epic plg within large companies can yield  and when i read the case studies and stories from these companies its magical lizwessel quote max brodeururbas max brodeururbas maxbrodeururbas plg works instacart just crossed 1000 employees on gumloop it started with one free tier user that user shared their workflows internally now 10 different departments are building with ai no sign of slowing down that first user loved gumloop so much he joined our team show more gif 18 18 16k 16k  gumloopai lizwessel maxbrodeururbas,0.08138094370737130
im interested in hiring someone to help build this automation nice to haves imo gold medal talpiot 10 years hft experience us navy seals 20 years cuda gp at tier 1 vc firm,basedalexandoor,you should get a notification if youre tweet was featured on tbpn tbpn 19 19 433 433 55k 55k,,tbpn basedalexandoor,im interested in hiring someone to help build this automation nice to haves imo gold medal talpiot 10 years hft experience us navy seals 20 years cuda gp at tier 1 vc firm basedalexandoor you should get a notification if youre tweet was featured on tbpn tbpn 19 19 433 433 55k 55k  tbpn basedalexandoor,0.0813656888866461
happy easter to all is death the end i never quite thought so even as a kid i really dont know why  later though older i grew sophisticated and learned to say what does it matter life is now  then decades passed one summer night in a hospital in iowa i watched my,,,,,happy easter to all is death the end i never quite thought so even as a kid i really dont know why  later though older i grew sophisticated and learned to say what does it matter life is now  then decades passed one summer night in a hospital in iowa i watched my    ,0.08071373722013890
